طريقة العرض:,تفاصيل الصفقات المنفذة في كل مدينة,,
            3785436,"ر1,972,000.000",310.44,"6,352"
          قطعة 814/أ, , , 
            3757664,"ر1,870,000.000",310.25,"6,027"
          قطعة 837, , , 
            3803245,"ر1,675,000.000",670.75,"2,497"
          قطعة 838, , , 
            3803395,"ر1,675,000.000",670.75,"2,497"
          قطعة 839, , , 
            3802870,"ر1,500,000.000",650.00,"2,308"
          قطعة 840, , , 
            3803067,"ر1,500,000.000",650.00,"2,308"
      مخطط/90, , , 
          قطعة 141, , , 
            3783187,"ر1,875,000.000",750.00,"2,500"
            3793744,"ر2,100,000.000",750.00,"2,800"
   حي/الامير فواز الجنوبى, , , 
      مخطط/232, , , 
          قطعة 145, , , 
            3779856,"ر2,560,000.000",750.00,"3,413"
          قطعة 187, , , 
            3756097,"ر2,225,000.000",815.27,"2,729"
   حي/الامير فواز بن عبدالعزيز, , , 
      مخطط/108, , , 
          قطعة 1084, , , 
            3813633,"ر1,800,009.000",900.00,"2,000"
          قطعة 364, , , 
            3742458,"ر100,000.000",900.00,111
          قطعة 466, , , 
            3747346,"ر2,000,000.000",900.00,"2,222"
          قطعة 76, , , 
            3807391,"ر2,200,000.000",900.00,"2,444"
          قطعة 877, , , 
            3813745,"ر1,350,000.000",900.00,"1,500"
   حي/الاندلس, , , 
      مخطط/3, , , 
          قطعة 115, , , 
            3721425,"ر6,000,000.000",625.00,"9,600"
          قطعة 332, , , 
            3746935,"ر7,750,000.000",731.50,"10,595"
   حي/البساتين, , , 
      مخطط/298, , , 
          قطعة 1345, , , 
            3738995,"ر7,500,000.000",750.00,"10,000"
          قطعة 1346, , , 
            3739029,"ر7,500,000.000",750.00,"10,000"
          قطعة 1390, , , 
            3722297,"ر3,250,000.000",598.00,"5,435"
          قطعة 1436, , , 
            3766845,"ر2,500,000.000",598.00,"4,181"
          قطعة 1438, , , 
            3766872,"ر2,500,000.000",624.00,"4,006"
          قطعة 1460/أ, , , 
            3812836,"ر3,300,000.000",299.00,"11,037"
          قطعة 2067, , , 
            3776424,"ر5,000,000.000",787.50,"6,349"
          قطعة 439/أ, , , 
            3795097,"ر2,700,000.000",370.50,"7,287"
          قطعة 793, , , 
            3806196,"ر2,600,000.000",598.00,"4,348"
         العقارات 2-قطعة1104, , , 
            3759337,"ر22,000,000.000","1,464.00","15,027"
      مخطط/299, , , 
          قطعة 306, , , 
            3764919,"ر1,789,750.000",978.00,"1,830"
          قطعة 716, , , 
            3747249,"ر6,300,000.000",660.00,"9,545"
   حي/البساتين شمال جدة, , , 
      مخطط/244, , , 
          قطعة 976, , , 
            3717715,"ر6,200,000.000",589.00,"10,526"
          قطعة 991/ب, , , 
            3792468,"ر4,400,000.000",387.50,"11,355"
   حي/البشائر, , , 
      مخطط/208, , , 
          قطعة 232/ب, , , 
            3807191,"ر1,700,000.000",445.50,"3,816"
          قطعة 308, , , 
            3796468,"ر960,000.000",900.00,"1,067"
          قطعة 436, , , 
            3769328,"ر830,000.000",706.25,"1,175"
          قطعة 578, , , 
            3721236,"ر1,155,000.000",900.00,"1,283"
          قطعة 595, , , 
            3720321,"ر795,000.000",762.50,"1,043"
      مخطط/386, , , 
          قطعة 69, , , 
            3725649,"ر700,000.000",680.16,"1,029"
   حي/البغدادية, , , 
      مخطط/778, , , 
          قطعة 17, , , 
            3786398,"ر1,000,000.000",956.24,"1,046"
          قطعة 9, , , 
            3759061,"ر600,000.000",697.62,860
      مخطط/أخرى, , , 
          قطعة بدون, , , 
            3781255,"ر4,500,000.000",730.00,"6,164"
